Date,Day,Month,Year,Weekday,Q1,Q2,Q3,Q4,Total Sales,S1,S2,S3,S4,Total Revenue
2010-06-13,13,Jun,2010,Sunday,5422,3725,576,907,10630,17187.74,23616.5,3121.92,6466.91,50393.07000000001
2010-06-14,14,Jun,2010,Monday,7047,779,3578,1574,12978,22338.99,4938.86,19392.76,11222.62,57893.23
2010-06-15,15,Jun,2010,Tuesday,1572,2082,595,1145,5394,4983.24,13199.88,3224.9,8163.85,29571.870000000003
2010-06-16,16,Jun,2010,Wednesday,5657,2399,3140,1672,12868,17932.69,15209.66,17018.8,11921.36,62082.509999999995
2010-06-17,17,Jun,2010,Thursday,3668,3207,2184,708,9767,11627.56,20332.38,11837.28,5048.04,48845.26
2010-06-18,18,Jun,2010,Friday,2898,2539,311,1513,7261,9186.66,16097.26,1685.62,10787.69,37757.229999999996
2010-06-19,19,Jun,2010,Saturday,6912,1470,1576,1608,11566,21911.04,9319.8,8541.92,11465.04,51237.8
2010-06-20,20,Jun,2010,Sunday,5209,2550,3415,842,12016,16512.53,16167.0,18509.3,6003.46,57192.29
2010-06-21,21,Jun,2010,Monday,6322,852,3646,1377,12197,20040.74,5401.68,19761.32,9818.01,55021.75000000001
2010-06-22,22,Jun,2010,Tuesday,6865,414,3902,562,11743,21762.05,2624.76,21148.84,4007.06,49542.70999999999
2010-06-23,23,Jun,2010,Wednesday,1287,3955,2710,1804,9756,4079.79,25074.7,14688.2,12862.52,56705.21000000001
2010-06-24,24,Jun,2010,Thursday,2197,1429,2754,1299,7679,6964.49,9059.86,14926.68,9261.87,40212.9
2010-06-25,25,Jun,2010,Friday,7910,1622,5574,306,15412,25074.7,10283.48,30211.08,2181.78,67751.04000000001
2010-06-26,26,Jun,2010,Saturday,3855,1015,1746,608,7224,12220.35,6435.1,9463.32,4335.04,32453.81
2010-06-27,27,Jun,2010,Sunday,5988,3288,916,1530,11722,18981.96,20845.92,4964.72,10908.9,55701.5
2010-06-28,28,Jun,2010,Monday,2653,1544,3867,652,8716,8410.01,9788.96,20959.14,4648.76,43806.87
2010-06-29,29,Jun,2010,Tuesday,3664,2294,3244,897,10099,11614.88,14543.96,17582.48,6395.61,50136.92999999999
2010-06-30,30,Jun,2010,Wednesday,7077,2297,5376,1130,15880,22434.09,14562.98,29137.92,8056.9,74191.88999999998
2010-01-07,7,Jan,2010,Thursday,3509,700,1175,1205,6589,11123.53,4438.0,6368.5,8591.65,30521.68
2010-02-07,7,Feb,2010,Sunday,3716,3175,651,1263,8805,11779.72,20129.5,3528.42,9005.19,44442.83
2010-03-07,7,Mar,2010,Sunday,7746,2883,671,728,12028,24554.82,18278.22,3636.82,5190.64,51660.5
2010-04-07,7,Apr,2010,Wednesday,7006,2833,758,1005,11602,22209.02,17961.22,4108.36,7165.65,51444.25000000001
2010-05-07,7,May,2010,Friday,5223,1923,1583,1877,10606,16556.91,12191.82,8579.86,13383.01,50711.6
2010-06-07,7,Jun,2010,Monday,4753,3125,2787,583,11248,15067.01,19812.5,15105.54,4156.79,54141.840000000004
2010-07-07,7,Jul,2010,Wednesday,3369,752,5913,358,10392,10679.73,4767.68,32048.46,2552.54,50048.409999999996
2010-08-07,7,Aug,2010,Saturday,6805,758,4499,1740,13802,21571.85,4805.72,24384.58,12406.2,63168.350000000006
2010-09-07,7,Sep,2010,Tuesday,7826,2872,3592,328,14618,24808.42,18208.48,19468.64,2338.64,64824.17999999999
2010-10-07,7,Oct,2010,Thursday,7450,273,4511,505,12739,23616.5,1730.82,24449.62,3600.65,53397.590000000004
2010-11-07,7,Nov,2010,Sunday,5868,1690,1461,391,9410,18601.56,10714.6,7918.62,2787.83,40022.61000000001
2010-12-07,7,Dec,2010,Tuesday,5273,1888,5949,1677,14787,16715.41,11969.92,32243.58,11957.01,72885.92
2010-07-13,13,Jul,2010,Tuesday,1562,1851,3289,1740,8442,4951.54,11735.34,17826.38,12406.2,46919.46000000001
2010-07-14,14,Jul,2010,Wednesday,378,581,2531,446,3936,1198.26,3683.54,13718.02,3179.98,21779.8
2010-07-15,15,Jul,2010,Thursday,3180,438,1327,532,5477,10080.6,2776.92,7192.34,3793.16,23843.02
2010-07-16,16,Jul,2010,Friday,2508,1197,1556,1946,7207,7950.36,7588.98,8433.52,13874.98,37847.84
2010-07-17,17,Jul,2010,Saturday,7257,302,4973,1686,14218,23004.69,1914.68,26953.66,12021.18,63894.21
2010-07-18,18,Jul,2010,Sunday,2527,1347,1626,1724,7224,8010.59,8539.98,8812.92,12292.12,37655.61
2010-07-19,19,Jul,2010,Monday,2581,2489,2607,1692,9369,8181.77,15780.26,14129.94,12063.96,50155.93
2010-07-20,20,Jul,2010,Tuesday,7694,2975,1278,558,12505,24389.98,18861.5,6926.76,3978.54,54156.78
